denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Advent Christian Church,0-0-0,444,127,317,29430,12572,16858,66,99,53,11378,16717,1335,25927,779,2724,410,385,2310000,6000,54,121667,125,119,1632600,13719,37,114026,285,266,677400,2547,17,7641,379,536192,409241,112292,14659,1415,123,373651,287273,74378,12000,3038,256,162541,121968,37914,2659,635,111,395150,3560,28,30607,304,2773,18806,62,116,1386,9760,84,188,1387,9046,48,,444,6,338,5,164,22,142,27,NA,28,83,81,NA,,5,3,4950,1650,NA,NA,1,1,4000,NA,NA,NA,4,2,950,475,NA,NA,,4,240,25,215,NA,60,1,100,NA,100,NA,3,140,25,115,47,,NA,NA,NA,NA,NA,4,40,94,24,1,4,15,NA,3,16,79,26
Seventh-day Adventist Denomination ,0-0-1,1981,1079,902,110998,72378,38620,56,67,43,35030,72970,2998,96438,2665,11895,1399,1362,8477999,6220,261,908352,760,736,6933991,9421,209,863359,639,627,1544008,2463,52,44993,1849,6998988,1291018,5647948,60022,3785,1012,5139450,1092478,3993883,53089,5079,837,1859538,198540,1654065,6933,2222,36,182600,5072,9,34100,1383,14972,81067,59,781,9825,55762,71,602,5147,25305,42,,1981,93,88,5,5133,5052,81,55,57,16,1272,3931,30,,81,78,789400,10121,33,155215,77,74,785100,10609,33,155215,4,4,4300,1075,NA,NA,,85,261975,94525,167450,NA,3082,80,260938,94294,166644,3262,5,1037,231,806,207,,6,2700,4533,2,5700,67,575,3402,51,63,557,3321,53,4,18,81,20
Church of God (Adventist),0-0-2,58,13,46,1686,244,1442,29,19,32,712,925,49,1593,43,50,12,12,25850,2154,3,975,2,2,6500,3250,1,400,10,10,19350,1935,2,575,39,13887,4805,9082,NA,356,9,2216,986,1230,NA,246,30,11671,3819,7852,NA,389,NA,NA,NA,NA,NA,23,126,685,30,8,45,183,23,15,81,502,33,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Life and Advent Union,0-0-3,7,5,2,535,381,154,76,76,77,221,314,NA,529,6,NA,7,7,91000,13000,4,10500,5,5,80000,16000,3,10100,2,2,11000,5500,1,400,6,19861,13894,5967,NA,3310,5,18192,12382,5810,NA,3638,1,1669,1512,157,NA,NA,NA,NA,NA,NA,NA,7,76,344,49,5,64,291,58,2,12,53,27,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churches of God in Jesus Christ,0-0-4,86,33,53,3528,1303,2225,41,39,42,1339,1989,200,2980,47,501,54,52,164600,3165,6,13700,18,18,98700,5483,6,13700,36,34,65900,1938,NA,NA,63,41935,33587,8348,NA,666,26,24851,21488,3363,NA,956,37,17084,12099,4985,NA,462,2,6500,3250,NA,NA,42,295,1877,45,16,112,732,46,26,183,1145,44,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Orthodox Church,2-0-0,13,13,NA,1568,1568,NA,121,121,NA,689,879,NA,1192,376,NA,2,2,30000,15000,2,9000,2,2,30000,15000,2,9000,NA,NA,NA,NA,NA,NA,13,19368,18211,1157,NA,1490,13,19368,18211,1157,NA,1490,NA,NA,NA,NA,NA,NA,1,5000,NA,1,2000,11,49,445,40,11,49,445,40,NA,NA,NA,NA,,13,13,13,NA,1568,1568,NA,121,121,NA,689,879,NA,,2,2,30000,15000,2,9000,2,2,30000,15000,2,9000,NA,NA,NA,NA,NA,NA,,13,19368,18211,1157,NA,1490,13,19368,18211,1157,1490,NA,NA,NA,NA,NA,,1,5000,NA,1,2000,11,49,445,40,11,49,445,40,NA,NA,NA,NA
African Orthodox Church of New York,,3,2,NA,717,717,NA,329,239,NA,262,355,100,501,116,100,1,1,50000,50000,1,12100,1,1,50000,NA,1,12100,NA,NA,NA,NA,NA,NA,2,18900,15200,3700,NA,9450,2,18900,15200,3700,NA,9450,NA,NA,NA,NA,NA,NA,1,15000,NA,1,11000,3,26,220,73,3,26,220,73,NA,NA,NA,NA,,3,3,3,NA,717,717,NA,239,239,NA,262,355,100,,1,1,50000,NA,1,12100,1,1,50000,NA,1,12000,NA,NA,NA,NA,NA,NA,,2,18900,15200,3700,NA,9450,2,18900,15200,3700,9450,NA,NA,NA,NA,NA,,1,15000,NA,1,11000,3,26,220,73,3,26,220,73,NA,NA,NA,NA
American Ethical Union,1-8-5,6,6,NA,3801,3801,NA,634,634,NA,1813,1988,NA,3801,NA,NA,5,5,1157821,231564,2,212000,5,5,1157821,231564,2,2120000,NA,NA,NA,NA,NA,NA,6,256141,152902,103239,NA,42690,6,256141,152902,103239,NA,42690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,47,416,83,5,47,416,83,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Rescue Workers,0-0-5,97,97,NA,1989,1989,NA,21,21,NA,886,1040,63,1107,489,393,3,3,13800,4600,1,1600,3,3,13800,4600,1,1600,NA,NA,NA,NA,NA,NA,92,135214,82838,49282,3094,1470,92,135214,82838,49282,3094,1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,90,1091,22,50,90,1091,22,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apostolic Overcoming Holy Church of God,2-2-5,16,8,8,1047,581,466,65,73,58,352,695,0,1047,0,NA,10,10,16950,1695,5,1975,6,6,12100,2017,2,1600,4,4,4850,1213,3,375,16,17198,15010,2188,NA,1075,8,11187,9935,1252,NA,1398,8,6011,5075,936,NA,751,1,3000,NA,NA,NA,15,67,1068,71,7,38,583,83,8,29,485,61,,16,16,8,8,1047,581,466,65,73,58,352,695,NA,,10,10,16950,1695,5,1975,6,6,12100,2017,2,1600,4,4,4850,1213,3,375,,16,17198,15010,2188,NA,1075,8,11187,9935,1252,1398,8,6011,5075,936,751,,1,3000,NA,NA,NA,15,67,1068,71,7,38,583,83,8,29,485,61
"Assemblies of God, General Council",0-0-7,671,329,342,47950,32725,15225,71,99,45,,,,,,7882,497,479,3468989,7242,260,1087362,251,242,3022678,12490,175,1002087,246,237,446311,1883,85,85275,595,1405491,1089993,273670,41828,2362,299,1161090,898804,227018,35268,3883,296,244401,191189,46652,6560,826,125,255815,2047,50,77075,549,4232,41255,75,282,2534,26084,92,267,1698,15171,57,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assyrian Jacobite Apostolic Church,0-9-4,3,3,NA,1407,1407,NA,469,469,NA,703,704,NA,1116,291,NA,3,3,92000,30667,3,27500,3,3,92000,30667,3,27500,NA,NA,NA,NA,NA,NA,3,24253,23576,677,NA,8084,3,24253,23576,677,NA,8084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baha’is,0-0-8,44,40,4,1247,1186,61,28,30,15,NA,NA,1247,1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Baptist Convention,0-0-9,7611,2800,4751,1289966,885363,404603,169,310,85,489199,757183,43584,1122211,49897,117858,7722,7297,185370576,25404,1603,16004041,3029,2770,154894435,55919,1119,14746380,4693,4527,30476141,6732,484,1257661,7380,34318486,27647658,6656755,14073,4650,2852,27034805,21467919,5564124,2762,9479,4528,7283681,6179739,1092631,11311,1609,3716,18279770,4919,717,1847285,6999,114237,1052794,150,2808,69069,712431,254,4191,45168,340363,81,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Baptist Convention,0-1-0,23374,1859,21515,3524378,986059,2538319,151,530,118,1415008,1861637,247733,2805542,182828,536008,21401,21128,173456965,8210,2730,22986982,2001,1814,100235535,55257,926,17918434,19400,19314,73221430,3791,1804,5068548,22338,42904563,32886565,9761615,256383,1921,1855,23723050,17810161,5853153,59736,12789,20483,19181513,15076404,3908462,196647,936,3429,15185725,4429,855,1724355,19882,229848,2345630,118,1841,68976,807669,439,18041,160872,1537961,85,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Baptists,0-1-1-A,22081,4409,17672,3196623,1246327,1950296,145,283,110,1050062,1661183,485378,1921338,178230,1097055,20011,19833,103465759,5217,3743,10533174,4072,4012,69444724,17309,1726,9385537,15939,15821,34021035,2150,2017,1147637,20209,19475981,16210952,2444042,820987,964,4186,11553870,9804889,1265608,483373,2760,16023,7922111,6406063,1178434,337614,494,1325,4451057,3359,376,634369,18755,148067,1121362,60,3918,45039,402416,103,14837,103028,718946,48,,22081,22081,4409,17672,3196623,1246327,1950296,145,283,110,1050062,1661183,485378,,20011,19833,103465759,5217,3743,10533174,4072,4012,69444724,17309,1726,9385537,15939,15821,34021035,2150,2017,1147637,,20209,19475981,16210952,2444042,820987,964,4186,11553870,9804889,1265608,2760,16023,7922111,6406063,1178434,494,,1325,4451057,3359,376,634369,18755,148067,1121362,60,3918,45039,402416,103,14837,103028,718946,48
General Six Principle Baptists,0-1-2,6,2,4,293,161,132,49,81,33,110,81,NA,NA,Na,NA,7,6,20500,3417,1,700,2,2,7500,2750,NA,NA,5,4,13000,3250,1,700,5,3046,2925,121,NA,609,2,1831,1825,6,NA,916,3,1215,1100,115,NA,405,NA,NA,NA,NA,NA,5,40,229,46,2,19,90,45,3,21,139,46,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seventh Day Baptists,0-1-3,67,13,54,7264,1704,5560,108,131,103,2799,4387,78,6891,155,218,62,58,668200,11521,6,8800,8,8,321000,40125,2,3400,54,50,347200,6944,4,5400,65,132068,90647,41421,NA,2032,13,48906,31834,17072,NA,3762,52,83162,58813,24349,NA,1599,42,167500,3988,4,5400,57,691,4033,71,12,134,914,76,45,557,3119,69,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Will Baptists,0-1-5,1024,41,983,79592,4042,75550,78,99,77,31910,46790,892,65786,1190,12616,770,765,1156743,1512,69,32564,34,34,114800,3376,13,11956,736,731,1041943,1425,56,20608,872,252613,179730,66557,6326,290,39,33810,26660,6953,197,867,833,218803,153070,59604,6129,263,9,18400,2044,2,2800,643,4202,38199,59,32,257,2838,89,611,3945,35361,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United American Free Will Baptist Church(Colored),,166,11,155,13396,1804,11592,81,164,75,5079,8236,81,11015,421,1960,144,142,308425,2172,39,7962,9,9,53900,5989,3,1243,135,133,254525,1914,36,6719,158,67773,46494,13090,8189,429,11,12975,10056,1467,1452,1180,147,54798,36438,11623,6737,373,2,1300,650,1,40,144,836,5077,35,11,80,709,64,133,756,4368,33,,166,166,11,155,13396,1804,11592,81,164,75,5079,8236,81,,144,142,308425,2172,39,7962,9,9,53900,5989,3,1243,135,133,254525,1914,36,6719,,158,67773,46494,13090,8189,429,11,12975,10056,1467,1180,147,54789,36438,11623,373,,2,1300,650,1,40,144,836,5077,35,11,80,709,64,133,756,4368,33
Free Will Baptists (Bullockites),,2,NA,2,36,NA,36,18,NA,18,14,22,NA,36,,NA,1,1,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1500,NA,NA,NA,1,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,15,NA,NA,NA,NA,NA,1,2,15,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Baptists,0-1-8,465,41,424,31501,4051,27450,68,99,65,13306,18188,7,19056,601,11844,354,353,706325,2001,18,22823,41,40,166800,4170,8,13575,313,313,539525,1724,10,9248,440,113825,95792,17181,852,259,41,35430,29879,5551,NA,864,399,78395,65913,11630,852,196,10,35000,3500,1,1138,295,2064,18797,64,34,350,3720,109,261,1714,15077,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Separate Baptists,0-1-9,65,1,64,4803,60,4743,74,NA,74,1821,2336,646,3766,103,934,46,43,63650,1480,NA,NA,1,1,2000,NA,NA,NA,45,42,61650,1468,NA,NA,41,9292,7799,1368,125,227,1,500,500,NA,NA,NA,40,8792,7299,1368,125,220,1,1000,NA,NA,NA,37,259,1782,48,1,11,90,NA,36,248,1692,47,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regular Baptists,0-2-0,349,16,333,23091,2486,20605,66,155,62,8220,13581,1290,19996,159,2936,235,233,647550,2779,22,106619,14,14,368400,26314,4,102980,221,219,279150,1275,18,3639,223,55610,46168,8815,627,249,12,29201,24466,4735,NA,2433,211,26409,21702,4080,627,125,8,36325,4541,1,64,65,450,4690,72,9,135,1863,207,56,315,2827,50,,349,1,NA,1,38,NA,38,NA,NA,NA,16,22,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Baptists,0-2-1,221,4,217,18903,221,18682,86,55,86,6875,10587,1441,16415,42,2446,142,139,144665,1041,10,1610,4,4,4000,1000,NA,NA,138,135,140665,1042,10,1610,147,15094,11103,1862,2129,103,NA,NA,NA,NA,NA,NA,147,15094,11103,1862,2129,103,NA,NA,NA,NA,NA,39,239,2005,51,1,7,75,NA,38,232,1930,51,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck River and Kindred Associations of Baptists (Baptist Church of Christ),0-2-2,98,2,96,7340,78,7262,75,39,76,2903,4200,237,4332,6,3002,76,75,51175,682,2,195,2,2,1400,700,1,80,74,73,49775,682,1,115,46,5362,3845,867,650,117,2,175,150,25,NA,88,44,5187,3695,842,650,118,NA,NA,NA,NA,NA,14,78,795,57,1,5,45,NA,13,73,750,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primitive Baptists,0-2-3,2267,298,1969,81374,11248,70126,36,38,36,17060,30608,33706,42283,75,39016,1057,1037,1730348,1669,67,25734,137,134,406700,3035,25,14604,920,903,1323648,1466,42,11130,776,166847,140678,16945,9224,215,115,43633,38207,3196,2230,379,661,123214,102471,13749,6994,186,6,13313,2219,NA,NA,5,25,181,36,2,10,24,12,3,15,157,52,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colored Primitive Baptists,0-2-4,925,76,849,43978,4637,39341,48,61,46,2346,4856,36776,6235,942,36801,91,87,171518,1971,15,9793,27,26,93870,3610,8,7259,64,61,77648,1273,7,2534,111,39419,26874,12052,493,355,30,19362,13630,5389,343,645,81,20057,13244,6663,150,248,NA,NA,NA,NA,NA,24,179,2278,95,10,70,780,78,14,109,1498,107,,925,925,76,849,43978,4637,39341,48,61,46,2346,4856,36776,,91,87,171518,1971,15,9793,27,26,93870,3610,8,7259,64,61,77648,1273,7,2534,,111,39419,26874,12052,493,355,30,19362,13630,5389,645,81,20057,13244,6663,248,,NA,NA,NA,NA,NA,24,179,2278,95,10,70,780,78,14,109,1498,107
Two-Seed-in-the-Spirit Predestinarian Baptists,0-2-5,27,6,21,304,79,225,11,13,11,130,174,NA,262,NA,42,24,24,19350,806,NA,NA,6,6,8100,1350,NA,NA,18,18,11250,625,NA,NA,20,473,288,85,100,24,3,60,33,27,NA,20,17,413,255,58,100,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Independent Baptist Church of America,,13,4,9,222,67,155,17,17,17,86,136,NA,118,NA,104,6,6,12000,2000,1,425,1,1,7000,NA,NA,NA,5,5,5000,1000,1,425,10,2499,779,1720,NA,250,3,1099,409,690,NA,366,7,1400,370,1030,NA,200,NA,NA,NA,NA,NA,6,18,146,24,1,3,10,NA,5,15,136,27,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Baptist Association,,1431,35,1396,117858,6387,111471,82,182,80,47367,65578,4913,103899,1149,12810,1066,1054,1832546,1739,71,58757,34,31,194550,6276,13,23460,1032,1023,1637996,1601,58,35297,1303,482045,351264,121406,9375,370,33,76624,61741,14883,NA,2322,1270,405421,289523,106523,9375,319,38,76050,2001,6,5725,918,6120,56228,61,32,401,5012,157,886,5719,51216,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brethren German Baptist (Dunkers): Church of Brethren (Conservative Dunkers).,0-2-6,1030,237,793,128392,39584,88808,125,167,112,54145,68284,5963,111233,7751,9408,1254,968,8630499,8916,131,676584,258,225,3943136,17525,68,567451,996,743,4687363,6309,63,109133,951,1744755,1214930,515260,14565,1835,228,796624,628423,167701,500,3494,723,948131,586507,347559,14065,1311,201,923820,4596,65,146710,895,13021,109891,123,222,4008,36397,164,673,9013,73494,109,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
